station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MKE,2025-01-01 00:52,35.00,27.00,72.32,320.00,9.00,0.00,29.88,1012.30,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,27.24,KMKE 010052Z 32009KT 10SM OVC019 02/M03 A2988 RMK AO2 SLP123 T00171028,M
MKE,2025-01-01 01:52,35.00,27.00,72.32,320.00,10.00,0.00,29.89,1012.80,10.00,19.00,OVC,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,26.73,KMKE 010152Z 32010G19KT 10SM OVC018 02/M03 A2989 RMK AO2 SLP128 T00171028,M
MKE,2025-01-01 02:52,34.00,27.00,75.26,300.00,11.00,0.00,29.90,1013.30,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,24.99,KMKE 010252Z 30011KT 10SM OVC017 01/M03 A2990 RMK AO2 SLP133 T00111028 51014,M
MKE,2025-01-01 03:52,33.00,26.00,75.17,300.00,13.00,0.00,29.92,1013.70,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,22.85,KMKE 010352Z 30013KT 10SM OVC015 01/M03 A2992 RMK AO2 SLP137 T00061033,M
MKE,2025-01-01 04:52,33.00,25.00,72.11,310.00,11.00,0.00,29.92,1014.00,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,23.73,KMKE 010452Z 31011KT 10SM OVC015 01/M04 A2992 RMK AO2 SLP140 T00061039,M
MKE,2025-01-01 05:52,32.00,25.00,75.07,280.00,13.00,0.00,29.94,1014.50,10.00,20.00,OVC,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,21.57,KMKE 010552Z 28013G20KT 10SM OVC014 00/M04 A2994 RMK AO2 SLP145 T00001039 10017 20000 400720000 53012,M
MKE,2025-01-01 06:50,32.00,24.80,74.44,290.00,8.94,M,29.94,M,10.00,19.05,OVC,M,M,M,1899.00,M,M,M,M,M,M,M,M,M,M,23.55,SPECI KMKE 010650Z 29009G19KT 10SM OVC019 00/M04 A2994 RMK AO2 FIBI (WAJ),M
MKE,2025-01-01 06:52,32.00,24.00,72.00,290.00,8.00,0.00,29.94,1014.60,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,24.11,KMKE 010652Z 29008KT 10SM OVC019 00/M04 A2994 RMK AO2 SLP146 T00001044,M
MKE,2025-01-01 07:52,32.00,23.00,69.04,290.00,14.00,0.00,29.94,1014.70,10.00,20.00,OVC,M,M,M,2100.00,M,M,M,M,M,M,M,M,M,M,21.16,KMKE 010752Z 29014G20KT 10SM OVC021 00/M05 A2994 RMK AO2 SLP147 T00001050,M
MKE,2025-01-01 08:52,31.00,23.00,71.89,280.00,8.00,0.00,29.95,1015.10,10.00,17.00,FEW,BKN,OVC,M,1500.00,2700.00,3400.00,M,M,M,M,M,M,M,M,22.88,KMKE 010852Z 28008G17KT 10SM FEW015 BKN027 OVC034 M01/M05 A2995 RMK AO2 SLP151 T10061050 53005,M
